"id","country","district","gender","trial","item_A","item_B","item_C","best_overall","worst_overall","best_taste","worst_taste","best_color","worst_color","best_describe","worst_describe","community","age","geno_test","region"
7,"Uganda","Gulu","Woman","home","NASPOT 12","NASPOT 13","NASPOT 10 (Kabode)","A","B","A","B","C","A","sweet and hard","wet and has no taste",NA,NA,NA,NA
1,"Uganda","Gulu","Man","home","NASPOT 10 (Kabode)","NASPOT 8","Ejumula","C","A","C","A","C","B","sweet","watery and fibrous",NA,NA,NA,NA
2,"Uganda","Gulu","Man","home","NASPOT 10 (Kabode)","NASPOT 8","Ejumula","B","C","B","C","A","B","so sweet, nice smell","rotten and it changes the smell",NA,NA,NA,NA
3,"Uganda","Gulu","Woman","home","NASPOT 10 (Kabode)","NASPOT 8","Ejumula","B","A","B","A","B","C","sweet, nice","watery, wet",NA,NA,NA,NA
346,"Uganda","Wakiso","Woman","home","NASPOT 10 (Kabode)","NASPOT 8","Ejumula","B","A","B","A","C","A","pale color","unattractive orange color, bad green smell",NA,NA,NA,NA
354,"Uganda","Wakiso","Woman","home","NASPOT 8","NASPOT 12","Kakamega","C","B","C","B","A","C","sweet like ripe bananas","bad taste",NA,NA,NA,NA
364,"Uganda","Wakiso","Woman","home","NASPOT 8","NASPOT 12","NASPOT 10 (Kabode)","C","B","C","B","A","C","hard and sweet","no aroma",NA,NA,NA,NA
365,"Uganda","Wakiso","Woman","home","Ejumula","NASPOT 10 (Kabode)","NASPOT 8","C","B","C","B","A","C","sweet and hard","not sweet, bad odor",NA,NA,NA,NA
366,"Uganda","Wakiso","Man","home","Ejumula","NASPOT 10 (Kabode)","NASPOT 8","A","B","C","B","A","C","It is soft on shewing and has a good taste","It's less tasty and has a bad odor",NA,NA,NA,NA
375,"Uganda","Wakiso","Woman","home","Ejumula","Kakamega","NASPOT 12","A","C","A","C","A","B","It's very delicious","It's sweet buit not than A and B",NA,NA,NA,NA
376,"Uganda","Wakiso","Woman","home","Ejumula","Kakamega","NASPOT 12","A","C","A","C","A","B","good in every way","It's sweet but not more than A and B",NA,NA,NA,NA
377,"Uganda","Wakiso","Man","home","Ejumula","Kakamega","NASPOT 12","A","C","A","C","A","C","it's sweet","sweet but so hard",NA,NA,NA,NA
379,"Uganda","Wakiso","Man","home","NASPOT 13","NASPOT 12","NASPOT 10 (Kabode)","A","B","A","C","A","C","It is sweet as sugar","sweet and i like it",NA,NA,NA,NA
389,"Uganda","Wakiso","Woman","home","NASPOT 13","Kakamega","NASPOT 10 (Kabode)","A","B","A","B","C","A","it is very sweet","it is not sweet like A",NA,NA,NA,NA
390,"Uganda","Wakiso","Man","home","NASPOT 13","Kakamega","NASPOT 10 (Kabode)","A","B","A","B","C","A","it is very sweet","it is not sweet like  A",NA,NA,NA,NA
399,"Uganda","Wakiso","Woman","home","NASPOT 10 (Kabode)","NASPOT 8","NASPOT 12","A","B","A","B","A","C","very sweetand i like it","SP A is the sweet one",NA,NA,NA,NA
400,"Uganda","Wakiso","Man","home","NASPOT 10 (Kabode)","NASPOT 8","NASPOT 12","A","B","C","B","A","C","SP A is nice, attractive, it is extremely nice","It's just that SP A is just extremely good",NA,NA,NA,NA
423,"Uganda","Wakiso","Man","home","Ejumula","Kakamega","NASPOT 13","A","C","A","C","A","C","Has a good taste like sugar in the mpouth, it is not hard when you are eating","sweet like sugar but has a hard body, stained appearance",NA,NA,NA,NA
424,"Uganda","Wakiso","Woman","home","Ejumula","Kakamega","NASPOT 13","A","C","A","C","A","C","sweet, soft","too sweet, too hard",NA,NA,NA,NA
428,"Uganda","Wakiso","Man","home","NASPOT 10 (Kabode)","NASPOT 12","NASPOT 13","A","B","A","B","C","A","This type A is very sweet and also the appearanece is good but it has enough sugar","This type is tasteless, when you're eating, it's li",NA,NA,NA,NA
347,"Uganda","Wakiso","Man","home","Ejumula","Kakamega","NASPOT 8","A","C","A","C","A","B","Sweet enough, nice aroma","Not as sweet as others",NA,NA,NA,NA
348,"Uganda","Wakiso","Woman","home","Ejumula","Kakamega","NASPOT 8","A","C","A","C","A","B","Sweetenough, enough aroma","Not sweet enough",NA,NA,NA,NA
349,"Uganda","Wakiso","Woman","home","NASPOT 12","NASPOT 13","NASPOT 10 (Kabode)","C","A","C","A","B","A","Sweet and smells like yam","Not sweet, no aroma",NA,NA,NA,NA
351,"Uganda","Wakiso","Woman","home","Kakamega","NASPOT 10 (Kabode)","NASPOT 13","C","B","A","C","C","B","very sweet, not fibrous and not sapy","not sweet, fibrous and very soft",NA,NA,NA,NA
352,"Uganda","Wakiso","Woman","home","Kakamega","NASPOT 10 (Kabode)","NASPOT 13","A","B","A","C","C","B","sweeter than other varieties","sweet, hard and not fibrous",NA,NA,NA,NA
353,"Uganda","Wakiso","Woman","home","Kakamega","NASPOT 10 (Kabode)","NASPOT 13","B","C","B","C","A","B","hard, mealy, nice aroma","soft",NA,NA,NA,NA
355,"Uganda","Wakiso","Man","home","NASPOT 10 (Kabode)","NASPOT 8","NASPOT 13","C","A","B","C","C","B","sweet and hard","sweet but soft and fibrous",NA,NA,NA,NA
356,"Uganda","Wakiso","Man","home","NASPOT 12","Ejumula","NASPOT 8","B","C","B","A","A","B","not fibrous, sweet","not tasty",NA,NA,NA,NA
357,"Uganda","Wakiso","Man","home","NASPOT 12","Ejumula","NASPOT 8","B","A","B","A","C","A","soft and delicious","less delicious and fibrous",NA,NA,NA,NA
359,"Uganda","Wakiso","Man","home","NASPOT 8","Kakamega","Ejumula","C","A","C","A","B","C","tasty, nice flavor","lacks flavor",NA,NA,NA,NA
360,"Uganda","Wakiso","Man","home","NASPOT 8","Kakamega","Ejumula","C","A","B","C","B","C","good taste","bad taste",NA,NA,NA,NA
361,"Uganda","Wakiso","Woman","home","Ejumula","NASPOT 10 (Kabode)","Kakamega","A","C","A","C","B","A","a bit hard and smooth","too soft and not tasty",NA,NA,NA,NA
362,"Uganda","Wakiso","Man","home","NASPOT 10 (Kabode)","NASPOT 8","Ejumula","C","B","C","A","C","B","sweet","sweet",NA,NA,NA,NA
363,"Uganda","Wakiso","Man","home","NASPOT 10 (Kabode)","NASPOT 8","Ejumula","B","A","C","B","B","A","tastes like pumpkin","tastless",NA,NA,NA,NA
367,"Uganda","Wakiso","Woman","home","Kakamega","NASPOT 8","NASPOT 13","B","A","C","B","B","C","sweet with good smell","tasteless, crunchy",NA,NA,NA,NA
368,"Uganda","Wakiso","Woman","home","NASPOT 10 (Kabode)","Ejumula","NASPOT 8","B","C","A","B","A","B","very sweet","very sweet",NA,NA,NA,NA
369,"Uganda","Wakiso","Woman","home","NASPOT 10 (Kabode)","Ejumula","NASPOT 8","B","C","B","C","A","B","very nice","very sweet according to B",NA,NA,NA,NA
370,"Uganda","Wakiso","Man","home","NASPOT 10 (Kabode)","Ejumula","NASPOT 8","C","B","A","C","A","C","very nice","very sweet",NA,NA,NA,NA
371,"Uganda","Wakiso","Woman","home","NASPOT 13","NASPOT 10 (Kabode)","Ejumula","C","B","C","A","A","B","sweet like honey","tastes like not well boiled",NA,NA,NA,NA
372,"Uganda","Wakiso","Woman","home","NASPOT 13","NASPOT 10 (Kabode)","Ejumula","A","B","A","C","C","B","tastes good ,sweet","tastes like not well cooked",NA,NA,NA,NA
373,"Uganda","Wakiso","Woman","home","NASPOT 12","NASPOT 13","Kakamega","C","A","C","B","B","C","nice aroma, sweet","under whelming color",NA,NA,NA,NA
378,"Uganda","Wakiso","Woman","home","Ejumula","Kakamega","NASPOT 8","B","A","B","A","C","B","hard, delicious","not sweet",NA,NA,NA,NA
380,"Uganda","Wakiso","Man","home","NASPOT 10 (Kabode)","Ejumula","Kakamega","B","A","B","A","C","B","sweet","crunchy like yam",NA,NA,NA,NA
381,"Uganda","Wakiso","Woman","home","NASPOT 12","NASPOT 13","Ejumula","C","A","C","A","B","C","good scent","not sweet",NA,NA,NA,NA
382,"Uganda","Wakiso","Man","home","NASPOT 12","NASPOT 13","Ejumula","C","A","C","A","B","C","sweeter than others","less sugar, bad smell",NA,NA,NA,NA
383,"Uganda","Wakiso","Woman","home","NASPOT 12","NASPOT 13","Ejumula","C","A","C","A","B","A","sweet","not sweet, bad appearance",NA,NA,NA,NA
384,"Uganda","Wakiso","Woman","home","NASPOT 8","NASPOT 10 (Kabode)","NASPOT 13","A","C","A","C","A","C","sweet, soft, smooth","fibrous, bad colr",NA,NA,NA,NA
385,"Uganda","Wakiso","Woman","home","NASPOT 8","NASPOT 10 (Kabode)","NASPOT 13","B","A","C","B","C","B","some how sweet","not sweet",NA,NA,NA,NA
444,"Uganda","Wakiso","Woman","home","NASPOT 8","NASPOT 10 (Kabode)","NASPOT 13","C","A","B","C","B","C","sweet, hard, not fibrous","not too sweet",NA,NA,NA,NA
386,"Uganda","Wakiso","Man","home","NASPOT 10 (Kabode)","Ejumula","NASPOT 8","B","C","B","C","B","C","shinny skin, sweet","not very sweet",NA,NA,NA,NA
387,"Uganda","Wakiso","Man","home","Ejumula","NASPOT 8","Kakamega","A","B","A","B","C","A","smooth","too soft",NA,NA,NA,NA
388,"Uganda","Wakiso","Man","home","Ejumula","NASPOT 8","Kakamega","C","B","C","B","A","C","mealy, not watery, sweeter than A and B","watery, not as sweet as A and C",NA,NA,NA,NA
392,"Uganda","Wakiso","Woman","home","NASPOT 8","NASPOT 10 (Kabode)","Ejumula","C","B","C","B","A","C","sweet","less sweet",NA,NA,NA,NA
393,"Uganda","Wakiso","Man","home","NASPOT 8","NASPOT 10 (Kabode)","Ejumula","C","B","A","B","A","C","mealy, hard","too sweet, too soft, bad color",NA,NA,NA,NA
394,"Uganda","Wakiso","Woman","home","NASPOT 8","NASPOT 10 (Kabode)","Ejumula","C","B","A","C","A","C","sweeter","tastless",NA,NA,NA,NA
395,"Uganda","Wakiso","Woman","home","Kakamega","NASPOT 12","Ejumula","C","B","C","A","A","C","C is very sweet","C is very good but not very swwet",NA,NA,NA,NA
396,"Uganda","Wakiso","Man","home","Ejumula","Kakamega","NASPOT 13","C","B","C","B","C","A","hard enough, moderately sweet","too sweet, soft",NA,NA,NA,NA
397,"Uganda","Wakiso","Woman","home","Ejumula","Kakamega","NASPOT 13","A","B","A","B","A","C","hard, not very sweet","too sweet, very soft",NA,NA,NA,NA
398,"Uganda","Wakiso","Woman","home","Ejumula","Kakamega","NASPOT 13","A","B","A","B","A","C","mealy, not very sweet","too soft",NA,NA,NA,NA
401,"Uganda","Wakiso","Woman","home","NASPOT 12","NASPOT 13","Kakamega","B","C","B","C","A","B","taste is good","taste is not good",NA,NA,NA,NA
402,"Uganda","Wakiso","Man","home","NASPOT 13","Ejumula","NASPOT 8","B","A","B","A","C","B","not very sweet, moderately sweet","too sweet",NA,NA,NA,NA
403,"Uganda","Wakiso","Woman","home","NASPOT 13","Ejumula","NASPOT 8","B","A","B","C","C","A","not too much sugar","contains too much sugar",NA,NA,NA,NA
404,"Uganda","Wakiso","Man","home","NASPOT 8","Kakamega","NASPOT 10 (Kabode)","C","A","C","A","C","B","good for flour","moderate sugar",NA,NA,NA,NA
405,"Uganda","Wakiso","Woman","home","Kakamega","NASPOT 10 (Kabode)","NASPOT 13","C","A","C","A","C","A","moderately seet",NA,NA,NA,NA,NA
406,"Uganda","Wakiso","Man","home","Ejumula","NASPOT 12","Kakamega","A","B","C","B","A","C","not too much sugar but sweet","less sugar",NA,NA,NA,NA
407,"Uganda","Wakiso","Woman","home","Ejumula","NASPOT 12","Kakamega","A","B","A","B","C","A","sugary","less tasty",NA,NA,NA,NA
408,"Uganda","Wakiso","Man","home","Ejumula","NASPOT 12","Kakamega","B","C","B","C","A","C","soft and mealy","not sweet",NA,NA,NA,NA
350,"Uganda","Wakiso","Woman","home","Ejumula","NASPOT 13","NASPOT 8","B","C","B","C","A","B","mealy","too soft",NA,NA,NA,NA
441,"Uganda","Wakiso","Man","home","Kakamega","NASPOT 13","NASPOT 12","B","C","B","C","B","A","It is very nice and so sweet, with a good smell","It is not sweet, has some threads",NA,NA,NA,NA
442,"Uganda","Wakiso","Woman","home","Kakamega","NASPOT 13","NASPOT 12","B","C","B","C","B","A","B is very sweet, smelling like a pumpkin","It is not sweet, it is like water",NA,NA,NA,NA
440,"Uganda","Wakiso","Woman","home","NASPOT 12","NASPOT 8","NASPOT 13","B","A","B","A","C","B","It is sweet like sugarcane","There isn't enough sugar",NA,NA,NA,NA
438,"Uganda","Wakiso","Woman","home","NASPOT 10 (Kabode)","NASPOT 12","NASPOT 8","A","B","A","B","C","A","According to my taste, it is sweeter","Not sweet at all",NA,NA,NA,NA
439,"Uganda","Wakiso","Man","home","NASPOT 10 (Kabode)","NASPOT 12","NASPOT 8","B","C","B","A","A","B","It is very sweet and has a rich aroma","Not sweet at all",NA,NA,NA,NA
436,"Uganda","Wakiso","Man","home","NASPOT 8","Ejumula","Kakamega","B","C","B","A","A","C","B is the sweetes","A is hard but was ot sweet",NA,NA,NA,NA
437,"Uganda","Wakiso","Woman","home","NASPOT 8","Ejumula","Kakamega","A","B","A","B","C","A","sweet and hard","B has a bad smell",NA,NA,NA,NA
434,"Uganda","Wakiso","Woman","home","Ejumula","Kakamega","NASPOT 10 (Kabode)","A","C","A","C","B","A","A had a heavier taste than C and B","C has little sugar",NA,NA,NA,NA
435,"Uganda","Wakiso","Woman","home","Ejumula","Kakamega","NASPOT 10 (Kabode)","A","B","A","B","C","A","not watery, mealy, very sweet","Not rich in aroma, not very sweet",NA,NA,NA,NA
431,"Uganda","Wakiso","Woman","home","Kakamega","NASPOT 13","NASPOT 12","A","C","B","C","A","B","very sweet, hard peel, marketable","not sweet",NA,NA,NA,NA
432,"Uganda","Wakiso","Man","home","Kakamega","NASPOT 13","NASPOT 12","B","C","B","C","B","A","It is good in color and tastes better when eaten","It us salty and has a bad smell",NA,NA,NA,NA
433,"Uganda","Wakiso","Woman","home","Kakamega","NASPOT 13","NASPOT 12","B","C","B","C","B","C","sweet, rich aroma, mealy, attractive peel","not very sweet, not mealy, bad peel",NA,NA,NA,NA
429,"Uganda","Wakiso","Man","home","NASPOT 13","NASPOT 8","Ejumula","C","B","A","B","C","B","According to my taste it is the sweetest","According to me, the appearance and the taste",NA,NA,NA,NA
430,"Uganda","Wakiso","Woman","home","NASPOT 13","NASPOT 8","Ejumula","A","B","A","B","A","B","A is sweeter than B and C",NA,NA,NA,NA,NA
425,"Uganda","Wakiso","Woman","home","NASPOT 8","Ejumula","Kakamega","B","A","B","A","C","B","Tastes sweet","It iastes very nice",NA,NA,NA,NA
426,"Uganda","Wakiso","Man","home","NASPOT 8","Ejumula","Kakamega","B","C","B","C","A","B","It was so soft","It was too sweet",NA,NA,NA,NA
421,"Uganda","Wakiso","Woman","home","NASPOT 13","NASPOT 8","Ejumula","A","C","B","A","B","A","sweet, mealy","too soft when cooked",NA,NA,NA,NA
422,"Uganda","Wakiso","Man","home","NASPOT 13","NASPOT 8","Ejumula","A","C","B","A","B","A","It is sweet and mealy","It is sweet but too soft",NA,NA,NA,NA
420,"Uganda","Wakiso","Woman","home","NASPOT 10 (Kabode)","NASPOT 13","NASPOT 8","C","B","C","B","A","C","Moderately moist so it is solid when cooked","It is sticky and has a bad smell",NA,NA,NA,NA
419,"Uganda","Wakiso","Man","home","NASPOT 10 (Kabode)","NASPOT 13","NASPOT 8","B","A","B","A","C","B","sweet","tasteless",NA,NA,NA,NA
418,"Uganda","Wakiso","Woman","home","NASPOT 8","Kakamega","NASPOT 12","B","C","B","A","A","B",NA,"maly, noe color, big size",NA,NA,NA,NA
416,"Uganda","Wakiso","Woman","home","Ejumula","NASPOT 12","NASPOT 10 (Kabode)","A","C","A","C","B","A","It is very sweet, good in color","No sugar, has no taste",NA,NA,NA,NA
417,"Uganda","Wakiso","Woman","home","Ejumula","NASPOT 12","NASPOT 10 (Kabode)","A","C","A","C","B","A","It has good taste, goof in color, has flavor","Has no taste, takes long to get ready",NA,NA,NA,NA
414,"Uganda","Wakiso","Man","home","Kakamega","Ejumula","NASPOT 13","C","A","C","A","C","A","moderately sweet, no lingering taste","bad appearance,",NA,NA,NA,NA
415,"Uganda","Wakiso","Man","home","Kakamega","Ejumula","NASPOT 13","B","A","B","A","B","A","moderately sweet","Not as sweet as sweetpotato usually is",NA,NA,NA,NA
411,"Uganda","Wakiso","Woman","home","NASPOT 12","NASPOT 13","NASPOT 8","B","C","B","C","B","C","sweet, nice aroma, mealy","Not sweet",NA,NA,NA,NA
412,"Uganda","Wakiso","Man","home","NASPOT 12","NASPOT 13","NASPOT 8","B","C","B","C","B","A","Tastes sweet like something with sugar","Does not taste sweet",NA,NA,NA,NA
413,"Uganda","Wakiso","Man","home","NASPOT 12","NASPOT 13","NASPOT 8","B","C","B","C","B","A","It is sweet","Not sweet",NA,NA,NA,NA
409,"Uganda","Wakiso","Woman","home","NASPOT 10 (Kabode)","NASPOT 8","Ejumula","C","B","C","B","A","C","sweet smell, swet","not sweet enough",NA,NA,NA,NA
755,"Ghana","Northern","Man","community","SARI-Diedi (Tu-Purple)","SARI-Nan","PG17206-N5","B","C",NA,NA,NA,NA,NA,NA,"Waribogu","26","advanced_trial",NA
971,"Ghana","Northern","Man","community","PG17206-N5","PG17305-N1","SARI-Diedi (Tu-Purple)","B","A",NA,NA,NA,NA,NA,NA,"Waribogu","37","advanced_trial",NA
1191,"Ghana","Northern","Man","community","CRI-Ligri","SARI-Diedi (Tu-Purple)","PG17305-N1","B","A",NA,NA,NA,NA,NA,NA,"Waribogu","35","advanced_trial",NA
1325,"Ghana","Northern","Man","community","CRI-Ligri","PG17305-N1","SARI-Nyumingre (Obare)","C","A",NA,NA,NA,NA,NA,NA,"Waribogu","25","advanced_trial",NA
1347,"Ghana","Northern","Man","community","PG17265-N1","CRI-Ligri","SARI-Nyumingre (Obare)","C","B",NA,NA,NA,NA,NA,NA,"Waribogu","36","advanced_trial",NA
1370,"Ghana","Northern","Man","community","SARI-Nyumingre (Obare)","PG17265-N1","PG17140-N2","A","B",NA,NA,NA,NA,NA,NA,"Waribogu","42","advanced_trial",NA
1390,"Ghana","Northern","Man","community","PG17140-N2","PG17265-N1","CRI-Apomuden","A","B",NA,NA,NA,NA,NA,NA,"Waribogu","20","advanced_trial",NA
1412,"Ghana","Northern","Man","community","CRI-Apomuden","PG17140-N2","PG17136-N1","B","C",NA,NA,NA,NA,NA,NA,"Waribogu","26","advanced_trial",NA
1433,"Ghana","Northern","Man","community","PG17136-N1","CRI-Apomuden","PG17362-N1","A","C",NA,NA,NA,NA,NA,NA,"Waribogu","49","advanced_trial",NA
558,"Ghana","Northern","Man","community","PG17362-N1","CIP442162","PG17136-N1","C","A",NA,NA,NA,NA,NA,NA,"Waribogu","32","advanced_trial",NA
579,"Ghana","Northern","Man","community","CIP442162","PG17412-N2","PG17362-N1","A","B",NA,NA,NA,NA,NA,NA,"Waribogu","30","advanced_trial",NA
600,"Ghana","Northern","Man","community","SARI-Nan","CIP442162","PG17412-N2","A","C",NA,NA,NA,NA,NA,NA,"Waribogu","35","advanced_trial",NA
622,"Ghana","Northern","Man","community","PG17412-N2","PG17206-N5","SARI-Nan","B","A",NA,NA,NA,NA,NA,NA,"Waribogu","34","advanced_trial",NA
645,"Ghana","Northern","Man","community","SARI-Nyumingre (Obare)","SARI-Diedi (Tu-Purple)","PG17206-N5","B","A",NA,NA,NA,NA,NA,NA,"Waribogu","30","advanced_trial",NA
667,"Ghana","Northern","Man","community","SARI-Diedi (Tu-Purple)","PG17265-N1","PG17305-N1","C","B",NA,NA,NA,NA,NA,NA,"Waribogu","45","advanced_trial",NA
689,"Ghana","Northern","Man","community","PG17305-N1","PG17140-N2","CRI-Ligri","C","B",NA,NA,NA,NA,NA,NA,"Waribogu","25","advanced_trial",NA
711,"Ghana","Northern","Man","community","SARI-Nyumingre (Obare)","CRI-Apomuden","CRI-Ligri","A","B",NA,NA,NA,NA,NA,NA,"Waribogu","45","advanced_trial",NA
732,"Ghana","Northern","Man","community","SARI-Nyumingre (Obare)","PG17136-N1","PG17265-N1","A","C",NA,NA,NA,NA,NA,NA,"Waribogu","20","advanced_trial",NA
752,"Ghana","Northern","Man","community","PG17140-N2","PG17362-N1","PG17265-N1","A","C",NA,NA,NA,NA,NA,NA,"Waribogu","35","advanced_trial",NA
776,"Ghana","Northern","Man","community","CIP442162","PG17140-N2","CRI-Apomuden","A","C",NA,NA,NA,NA,NA,NA,"Waribogu","24","advanced_trial",NA
798,"Ghana","Northern","Woman","community","CRI-Apomuden","PG17412-N2","PG17136-N1","C","A",NA,NA,NA,NA,NA,NA,"Waribogu","32","advanced_trial",NA
820,"Ghana","Northern","Woman","community","PG17136-N1","PG17362-N1","SARI-Nan","C","B",NA,NA,NA,NA,NA,NA,"Waribogu","45","advanced_trial",NA
841,"Ghana","Northern","Woman","community","PG17206-N5","CIP442162","PG17362-N1","B","C",NA,NA,NA,NA,NA,NA,"Waribogu","28","advanced_trial",NA
862,"Ghana","Northern","Woman","community","PG17412-N2","SARI-Diedi (Tu-Purple)","CIP442162","B","A",NA,NA,NA,NA,NA,NA,"Waribogu","30","advanced_trial",NA
884,"Ghana","Northern","Man","community","SARI-Nan","PG17305-N1","PG17412-N2","B","A",NA,NA,NA,NA,NA,NA,"Waribogu","30","advanced_trial",NA
905,"Ghana","Northern","Woman","community","SARI-Nan","CRI-Ligri","PG17206-N5","B","C",NA,NA,NA,NA,NA,NA,"Waribogu","20","advanced_trial",NA
926,"Ghana","Northern","Woman","community","PG17362-N1","SARI-Diedi (Tu-Purple)","PG17265-N1","C","A",NA,NA,NA,NA,NA,NA,"Waribogu","35","advanced_trial",NA
947,"Ghana","Northern","Man","community","CIP442162","PG17140-N2","PG17305-N1","C","B",NA,NA,NA,NA,NA,NA,"Waribogu","34","advanced_trial",NA
969,"Ghana","Northern","Man","community","CRI-Ligri","CRI-Apomuden","PG17412-N2","B","C",NA,NA,NA,NA,NA,NA,"Waribogu","40","advanced_trial",NA
992,"Ghana","Northern","Man","community","SARI-Nan","PG17136-N1","SARI-Nyumingre (Obare)","A","B",NA,NA,NA,NA,NA,NA,"Waribogu","18","advanced_trial",NA
1014,"Ghana","Northern","Man","community","PG17206-N5","PG17362-N1","PG17265-N1","C","A",NA,NA,NA,NA,NA,NA,"Waribogu","26","advanced_trial",NA
1035,"Ghana","Northern","Man","community","CIP442162","SARI-Diedi (Tu-Purple)","PG17140-N2","B","C",NA,NA,NA,NA,NA,NA,"Waribogu","44","advanced_trial",NA
1057,"Ghana","Northern","Woman","community","PG17412-N2","CRI-Apomuden","PG17305-N1","C","B",NA,NA,NA,NA,NA,NA,"Waribogu","30","advanced_trial",NA
1079,"Ghana","Northern","Woman","community","SARI-Nan","PG17136-N1","CRI-Ligri","A","C",NA,NA,NA,NA,NA,NA,"Waribogu","38","advanced_trial",NA
1101,"Ghana","Northern","Man","community","PG17206-N5","SARI-Nyumingre (Obare)","PG17362-N1","B","C",NA,NA,NA,NA,NA,NA,"Waribogu","35","advanced_trial",NA
1123,"Ghana","Northern","Man","community","PG17265-N1","CIP442162","SARI-Diedi (Tu-Purple)","C","B",NA,NA,NA,NA,NA,NA,"Waribogu","35","advanced_trial",NA
1145,"Ghana","Northern","Woman","community","PG17412-N2","PG17140-N2","PG17305-N1","B","A",NA,NA,NA,NA,NA,NA,"Waribogu","45","advanced_trial",NA
1167,"Ghana","Northern","Woman","community","CRI-Apomuden","CRI-Ligri","SARI-Nan","C","A",NA,NA,NA,NA,NA,NA,"Waribogu","32","advanced_trial",NA
1190,"Ghana","Northern","Woman","community","SARI-Nyumingre (Obare)","PG17136-N1","PG17206-N5","A","C",NA,NA,NA,NA,NA,NA,"Waribogu","49","advanced_trial",NA
1213,"Ghana","Northern","Woman","community","PG17362-N1","SARI-Diedi (Tu-Purple)","PG17305-N1","C","A",NA,NA,NA,NA,NA,NA,"Waribogu","28","advanced_trial",NA
1235,"Ghana","Northern","Man","community","CIP442162","CRI-Ligri","PG17305-N1","C","B",NA,NA,NA,NA,NA,NA,"Waribogu","35","advanced_trial",NA
1257,"Ghana","Northern","Woman","community","PG17412-N2","CRI-Ligri","SARI-Nyumingre (Obare)","C","A",NA,NA,NA,NA,NA,NA,"Waribogu","20","advanced_trial",NA
1279,"Ghana","Northern","Man","community","PG17265-N1","SARI-Nan","SARI-Nyumingre (Obare)","C","A",NA,NA,NA,NA,NA,NA,"Waribogu","35","advanced_trial",NA
1301,"Ghana","Northern","Woman","community","PG17265-N1","PG17206-N5","PG17140-N2","A","C",NA,NA,NA,NA,NA,NA,"Waribogu","40","advanced_trial",NA
1315,"Ghana","Northern","Woman","community","CRI-Apomuden","PG17140-N2","SARI-Diedi (Tu-Purple)","C","B",NA,NA,NA,NA,NA,NA,"Waribogu","40","advanced_trial",NA
1318,"Ghana","Northern","Man","community","PG17305-N1","CRI-Apomuden","PG17136-N1","C","B",NA,NA,NA,NA,NA,NA,"Waribogu","42","advanced_trial",NA
1319,"Ghana","Northern","Woman","community","PG17136-N1","CRI-Ligri","PG17362-N1","A","C",NA,NA,NA,NA,NA,NA,"Waribogu","35","advanced_trial",NA
1321,"Ghana","Northern","Woman","community","CIP442162","SARI-Nyumingre (Obare)","PG17362-N1","A","B",NA,NA,NA,NA,NA,NA,"Waribogu","20","advanced_trial",NA
1323,"Ghana","Northern","Woman","community","CIP442162","PG17412-N2","PG17265-N1","B","A",NA,NA,NA,NA,NA,NA,"Waribogu","20","advanced_trial",NA
1327,"Ghana","Northern","Man","community","SARI-Nan","PG17412-N2","PG17140-N2","A","C",NA,NA,NA,NA,NA,NA,"Waribogu","28","advanced_trial",NA
1329,"Ghana","Northern","Woman","community","SARI-Nan","CRI-Apomuden","PG17206-N5","B","C",NA,NA,NA,NA,NA,NA,"Waribogu","30","advanced_trial",NA
1332,"Ghana","Northern","Woman","community","SARI-Diedi (Tu-Purple)","PG17206-N5","PG17136-N1","C","A",NA,NA,NA,NA,NA,NA,"Waribogu","40","advanced_trial",NA
1334,"Ghana","Northern","Man","community","SARI-Diedi (Tu-Purple)","PG17136-N1","CRI-Apomuden","B","C",NA,NA,NA,NA,NA,NA,"Waribogu","30","advanced_trial",NA
1335,"Ghana","Northern","Man","community","PG17362-N1","PG17136-N1","PG17305-N1","B","A",NA,NA,NA,NA,NA,NA,"Waribogu","40","advanced_trial",NA
1337,"Ghana","Northern","Woman","community","CRI-Ligri","CIP442162","PG17362-N1","B","C",NA,NA,NA,NA,NA,NA,"Waribogu","22","advanced_trial",NA
1340,"Ghana","Northern","Man","community","SARI-Nyumingre (Obare)","CIP442162","PG17412-N2","C","B",NA,NA,NA,NA,NA,NA,"Waribogu","95","advanced_trial",NA
1341,"Ghana","Northern","Man","community","PG17265-N1","PG17412-N2","SARI-Nan","C","B",NA,NA,NA,NA,NA,NA,"Waribogu","52","advanced_trial",NA
1343,"Ghana","Northern","Man","community","PG17140-N2","PG17206-N5","SARI-Nan","C","A",NA,NA,NA,NA,NA,NA,"Waribogu","35","advanced_trial",NA
1345,"Ghana","Northern","Woman","community","PG17206-N5","SARI-Diedi (Tu-Purple)","CRI-Apomuden","C","B",NA,NA,NA,NA,NA,NA,"Waribogu","20","advanced_trial",NA
1350,"Ghana","Northern","Man","community","SARI-Diedi (Tu-Purple)","PG17305-N1","PG17136-N1","C","A",NA,NA,NA,NA,NA,NA,"Waribogu","45","advanced_trial",NA
1352,"Ghana","Northern","Man","community","PG17305-N1","PG17362-N1","CRI-Ligri","A","B",NA,NA,NA,NA,NA,NA,"Waribogu","30","advanced_trial",NA
1354,"Ghana","Northern","Man","community","SARI-Nyumingre (Obare)","CIP442162","CRI-Ligri","A","B",NA,NA,NA,NA,NA,NA,"Waribogu","25","advanced_trial",NA
